Source,Target,weight
DVA,DB04,1
DVA,DB06,1
DVA,VB08,1
DVA,R1BR,1
PVDL,PVDR,1
PVDL,ALA,1
PVDL,AVFL,1
PVDL,AVFR,1
PVDL,PVPL,1
PVDL,PVNL,1
PVDL,AVG,1
PVDL,AVDL,1
PVDL,AVDR,1
PVDL,AVAL,1
PVDL,AVAR,1
PVDL,PVCL,1
PVDL,PVCR,1
PVDL,DD05,1
PVDL,VD10,1
PVDL,SPVL,1
PVDL,PVZ,1
PVDR,ALA,1
PVDR,PVR,1
PVDR,PVNR,1
PVDR,DVC,1
PVDR,AVDL,1
PVDR,AVAL,1
PVDR,AVAR,1
PVDR,PVCL,1
PVDR,PVCR,1
PVDR,VA09,1
PVDR,VA12,1
PVDR,VB05,1
PVDR,VB06,1
PVDR,R1BR,1
PVDR,PVV,1
ADEL,ADER,1
ADEL,RIH,1
ADEL,PVQL,1
ADEL,RIGL,1
ADEL,RIGR,1
ADEL,RMGL,1
ADEL,AVKL,1
ADEL,AVAR,1
ADEL,RIVR,1
ADER,RIGL,1
ADER,RIGR,1
ADER,AVAL,1
ADER,RIVL,1
ADER,RIVR,1
PDEL,PDER,1
PDEL,PVR,1
PDEL,AVKL,1
PDEL,AVKR,1
PDEL,PVCL,1
PDEL,VA10,1
PDEL,VB09,1
PDEL,R1BR,1
PDER,PDER,1
PDER,PVR,1
PDER,AVKL,1
PDER,PVCL,1
PDER,DB06,1
PDER,VA10,1
PDER,VB07,1
PDER,VB10,1
PDER,VB11,1
PDER,VD12,1
PDER,R1BR,1
PHAL,PHAR,1
PHAL,PHBL,1
PHAL,PHCL,1
PHAL,AVFL,1
PHAL,LUAL,1
PHAL,AVAL,1
PHAL,PVCL,1
PHAL,DA08,1
PHAL,R3BL,1
PHAL,R3BR,1
PHAL,R5BR,1
PHAL,R7BL,1
PHAL,R7BR,1
PHAL,R8AL,1
PHAL,R8AR,1
PHAL,R9AL,1
PHAL,PVX,1
PHAL,DX01,1
PHAL,EF03,1
PHAL,CP07,1
PHAR,PHBR,1
PHAR,PHCL,1
PHAR,PHCR,1
PHAR,PVQR,1
PHAR,AVFL,1
PHAR,AVG,1
PHAR,AVAL,1
PHAR,PVCR,1
PHAR,DA09,1
PHAR,PDA,1
PHAR,R1BR,1
PHAR,R3BL,1
PHAR,R3BR,1
PHAR,R5BR,1
PHAR,R6BR,1
PHAR,R8AL,1
PHAR,R8AR,1
PHAR,R9BL,1
PHAR,PCAL,1
PHAR,PCAR,1
PHAR,PVX,1
PHAR,PVY,1
PHAR,PVZ,1
PHAR,EF01,1
PHAR,EF02,1
PHAR,CP07,1
PHBL,PHBR,1
PHBL,PHCL,1
PHBL,PVQR,1
PHBL,AVHR,1
PHBL,AVG,1
PHBL,R3BR,1
PHBL,R8AL,1
PHBL,R9AL,1
PHBL,HOA,1
PHBL,HOB,1
PHBL,PCBL,1
PHBL,PVX,1
PHBL,PVY,1
PHBL,DVE,1
PHBL,DVF,1
PHBL,DX01,1
PHBL,DX03,1
PHBL,EF03,1
PHBL,CA07,1
PHBR,PHCL,1
PHBR,PHCR,1
PHBR,PVQL,1
PHBR,PVQR,1
PHBR,AVHR,1
PHBR,AVG,1
PHBR,PDB,1
